STUFFID,bibtex,author,year,ref_title,ref_journal,ref_volume,ref_page,ref_doi,no1,no2,type1,ref1,type2,ref2,notes_stim,data_name,nonling,language,notes_lang,language_glotto,notes_glotto,population,notes_var,accuracy,ambiguity,aoa,arousal,assoc,category,cloze,complex,concrete,confusion,context,dist,dominate,easelearn,familiar,freq,gpc,identify,identifyld,identifyn,imageagree,imagevar,imagine,intense,letters,meaning,modality,morph,nameagree,orthon,phonemes,phonon,pos,prime,pronounce,recall,recognition,rime,rt,semantic,sensory,sentcomp,similar,syllables,syntax,typical,valence,visualcomp,wordcomp
15,Fear1997,Fear,1997,Ratings for Welsh words and their English equivalents,"Behavior Research Methods, Instruments, & Computers",29,425--445,10.3758/BF03200595,705,,Words,,,,,,0,Multiple,"English, Welsh",,"stan1293, wels1247",,,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Fearnley1997,Fearnley,1997,MRC Psycholinguistic Database search program,"Behavior Research Methods, Instruments, & Computers",29,291--295,10.3758/BF03204829,100000,,Words,MRC Psycholinguistic Database: Coltheart (1981); Wilson (1988),,,,MRC Search,0,British English,,stan1293,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Fernandez2004,"Fernandez, Diez, Alonso, & Beato",2004,Free-association norms for the Spanish names of the Snodgrass and Vanderwart pictures,"Behavior Research Methods, Instruments, & Computers",36,577--583,10.3758/BF03195604,247,,Line drawings,Snodgrass & Vanderwart (1980),,,,,1,Spanish,,stan1288,,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Ferrand2008,"Ferrand, Bonin, Meot, Augustinova, New, Pallier, & Brysbaert",2008,Age-of-acquisition and subjective frequency estimates for all generally known monosyllabic French words and their relation with other psycholinguistic variables,Behavior Research Methods,40,1049--1054,10.3758/BRM.40.4.1049,1493,,Words,,,,,,0,French,,stan1290,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Ferrand2010,"Ferrand, New, Brysbaert, Keuleers, Bonin, Meot, Augustinova, & Pallier",2010,"The French Lexicon Project: Lexical decision data for 38,840 French words and 38,840 pseudowords",Behavior Research Methods,42,488--496,10.3758/BRM.42.2.488,38840,38840,Words,"Lexique 2: New, Pallier, Brysbaert, & Ferrand (2004)",Pseudowords,,,French Lexicon Project,0,French,,stan1290,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Ferre2012,"Ferre, Guasch, Moldovan, & Sanchez-Casas",2012,Affective norms for 380 Spanish words belonging to three different semantic categories,Behavior Research Methods,44,395--403,10.3758/s13428-011-0165-x,380,,Words,"SPANEW: Redondo, Fraga, Padron, & Comesana (2007)",,,,,0,Spanish,,stan1288,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
21,Ferreira1997,Ferreira & Cutting,1997,Ninety-three pictures and 108 questions for the elicitation of homophones,"Behavior Research Methods, Instruments, & Computers",29,619--635,10.3758/BF03210616,93,108,Line drawings,"Snodgrass & Vanderwart (1980); Philadelphia Comprehension Battery: Saffran, Schwartz, Linebarger, Martin, & Bochetto (1988)",Cloze/Sentences,,,,1,English,,stan1293,,,Difficulty,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
22,Ferstl2011,"Ferstl, Garnham, & Manouilidou",2011,Implicit causality bias in English: a corpus of 300 verbs,Behavior Research Methods,43,124--135,10.3758/s13428-010-0023-2,305,,Words,Au (1986); Crinean & Garnham (2006); Rudolph (2008),,,,,0,English,,stan1293,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
23,Forsythe2003,"Forsythe, Sheehy, & Sawey",2003,Measuring icon complexity: An automated analysis,"Behavior Research Methods, Instruments, & Computers",35,334--342,10.3758/BF03202562,68,,Symbols/Icons,"McDougall, Curry, & de Bruijn (1999)",,,,,1,British English,,stan1293,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,Forsythe2008,"Forsythe, Mulhern, & Sawey",2008,Confounds in pictorial sets: The role of complexity and familiarity in basic-level picture processing,Behavior Research Methods,40,116--129,10.3758/BRAI.40.1.116,260,290,Line drawings,Snodgrass & Vandert (1980),Pictures,"Bonin, Peereman, Malardier, Meot, & Chalard (2003)",,,1,British English,,stan1293,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,Frishkoff2008,"Frishkoff, Collins-Thompson, Perfetti, & Callan",2008,Measuring incremental changes in word knowledge: Experimental validation and implications for learning and assessment,Behavior Research Methods,40,907--925,10.3758/BRM.40.4.907,60,,Word Pairs,MCWord Online Database: Medler & Binder (2005),,,,,0,English,,stan1293,,,,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Ute2008,"Ute, Gygax, Sarrasin, Garnham, & Oakhill",2008,"Au pairs are rarely male: Norms on the gender perception of role names across English, French, and German",Behavior Research Methods,40,206--212,10.3758/BRM.40.1.206,126,,Names,,,,,,0,Multiple,"British English, French, German",,"stan1293, stan1290, stan1295",,Masculinity and femininity in role names ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,Gahl2004,"Gahl, Jurafsky, & Roland",2004,"Verb subcategorization frequencies: American English corpus data, methodological studies, and cross-corpus comparisons","Behavior Research Methods, Instruments, & Computers",36,432--443,10.3758/BF03195591,281,18,Words,"TASA: Zeno, Ivens, Millard, & Duvvuri (1995); Kucera & Francis (1967)",Categories,,,,0,English,,stan1293,,,Verb bias,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,Gee2010,Gee & Harris,2010,Homograph norms: An alternative approach to determining meaning dominance,Behavior Research Methods,42,976--986,10.3758/BRM.42.4.976,197,,Homo/Heterographs,"Nelson, McEvoy, & Schrieber (2004)",,,,,0,English,,stan1293,,,Meaning dominance values and summary classification responses,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
35,Goikoetxea2008,"Goikoetxea, Pascual, & Acha",2008,Normative study of the implicit causality of 100 interpersonal verbs in Spanish,Behavior Research Methods,40,760--772,10.3758/BRM.40.3.760,100,,Words,"U. Rudolph (personal communication, 2005); LEXESP: Sebastian-Gallas, Mart, Cuetos, & Carreiras (2000)",,,,,0,Spanish,,stan1288,,,Verb Bias,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
38,Gontijo2003,"Gontijo, Gontijo, & Shillcock",2003,Grapheme - phoneme probabilities in British English,"Behavior Research Methods, Instruments, & Computers",35,136--157,10.3758/BF03195506,17900000,,Corpus,"CELEX: Baayen, Piepenbrock, & Gulikers (1995)",,,,,0,British English,,stan1293,,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,Gorfein2008,Gorfein & Weingartner,2008,On the norming of homophones,Behavior Research Methods,40,522--530,10.3758/BRM.40.2.522,207,,Homo/Heterophones,,,,,,0,English,,stan1293,,,Homophone dominance measures using visual and auditory tasks,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,Graesser2004,"Graesser, McNamara, Louwerse, & Cai",2004,Coh-Metrix: Analysis of text on cohesion and language,"Behavior Research Methods, Instruments, & Computers",36,193--202,10.3758/BF03195564,,,Other,,,,,Coh-Metrix,1,English,,stan1293,,,"Density, logical operators, connectives, token tatio, polysemy, hypernym, concept clarity, syntatic complexity, readability, cohesion",0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,Grimaldi2010,"Grimaldi, Pyc, & Rawson",2010,"Normative multitrial recall performance, metacognitive judgments, and retrieval latencies for Lithuanian-English paired associates",Behavior Research Methods,42,634--642, 10.3758/BRM.42.3.634,120,,Word Pairs,,,,,,0,Multiple,"Lithuanian, English",,"lith1251, stan1293",,Error types and difficulty,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
45,Gruhn2008,Gruhn & Smith,2008,Characteristics for 200 words rated by young and older adults: Age-dependent evaluations of German adjectives (AGE),Behavior Research Methods,40,1088--1097,10.3758/BRM.40.4.1088,200,,Words,"Hager & Hasselhorn (1994); PANAS-X: Watson & Clark (1994); MDBF: Steyer, Schwenkmezger, Notz, & Eid (1997)",,,,,0,German,,stan1295,,,"Self-relevance, age relevance, and self-other relevance",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
46,Gupta2004,"Gupta, Lipinski, Abbs, Lin, Aktunc, Ludden, Martin, & Newman",2004,Space aliens and nonwords: Stimuli for investigating the learning of novel word-meaning pairs,"Behavior Research Methods, Instruments, & Computers",36,599--603,10.3758/BF03206540,144,2500,Pictures,,Pseudowords,,,,1,English,,stan1293,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
67,Keenan1994,Keenan & Benjafield,1994,An additional measure of availability derived from the Oxford English Dictionary,Psychonomic Bulletin & Review,1,255--257,10.3758/BF03200777,,,Words,Oxford English Dictionary,,,,,0,English,,stan1293,,,Availability,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
68,Rudell1993,Rudell,1993,Frequency of word usage and perceived word difficulty: Ratings of Kucera and Francis words,"Behavior Research Methods, Instruments, & Computers",25,455--463,10.3758/BF03204543,200,,Words,Kucera & Francis (1967),,,,,0,English,,stan1293,,,Word difficulty,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,Blair2002,"Blair, Urland, & Ma",2002,Using Internet search engines to estimate word frequency,Behavior Research Methods,34,286--290,10.3758/BF03195456,382,,Words,Kucera & Francis (1967),Names,"CELEX: Baayen, Piepenbrock, & Gulikers (1995)","Nouns, verbs, adjectives, nonstandard words, names",,0,English,,stan1293,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,Burgess1998,Burgess & Livesay,1998,The effect of corpus size in predicting reaction time in a basic word recognition task: Moving on from Kucera and Francis,"Behavior Research Methods, Instruments, & Computers",30,272--277,10.3758/BF03200655,8208,,Words,HAL: Burgess & Lund (1997); Kucera & Francis (1967),,,,,0,English,,stan1293,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
71,Amster1967,Amster,1967,Convergent association norms for ten-year-old children and college age adults,Psychonomic Monograph Supplements,2,1--32,,,,Word Pairs,Russell & Jenkins (1954); Palermo & Jenkins (1964),,,,,0,English,,stan1293,,Children and adults,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,Biersdorff1973,Biersdorff & Solso,1973,A recodification of the Palermo and Jenkins word-association norms,Behavior Research Methods & Instrumentation,5,14--20,10.3758/BF03200115,,,Word Pairs,Palermo & Jenkins (1964),,,,,0,English,,stan1293,,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,Duncan1966,Duncan & Wood,1966,Norms for successive word associations,Psychonomic Monograph Supplements,1,203--206,,20,,Words,Kent & Resanoff (1910),,,,,0,English,,stan1293,,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,Garskof1967,"Garskof, Houston, & Mednick",1967,Overlap and direct associative strength norms for 480 word pairs,Psychonomic Monograph Supplements,2,33--38,,480,,Word Pairs,,,,,,0,English,,stan1293,,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,Geen1975,Geen & Stonner,1975,Primary associates to 20 verbs connoting violence,Behavior Research Methods & Instrumentation,7,391--392,10.3758/BF03201552,20,,Words,,,,Violent verbs,,0,English,,stan1293,,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,Gerjouy1965,Gerjouy & Gerjouy,1965,Preliminary word-association norms for institutionalized adolescent retardates,Psychonomic Science,2,91--92,,100,,Words,Kent & Resanoff (1910),,,,,0,English,,stan1293,,Tested institutionalized adolescents ,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,Lovelace1981,"Lovelace, Reid, & Hunt",1981,Free associations to conceptually structured word triads,Bulletin of the Psychonomic Society,17,65--68,,40,,Word Pairs,,,,Word triads,,0,English,,stan1293,,"Elementary school, high school, and college students",,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,Shapiro1966,Shapiro,1966,Word association norms: Stability of response and chains of association,Psychonomic Science,4,233--234,,82,,Words,,,,,,0,English,,stan1293,,Tested 12-13 year olds,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,Shapiro1968,Shapiro & Palermo,1968,An atlas of normative free association data,Psychonomic Monograph Supplements,2,219--250,,20,,Words,,,,Collections of words,,0,English,,stan1293,,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,Stark1972,Stark,1972,Synonym responses to 100 free association stimuli,Psychonomic Monograph Supplements,4,269--274,,100,,Words,,,,Synonyms,,0,English,,stan1293,,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,Tresselt1964,Tresselt & Mayzner,1964,The Kent-Rosanoff word association: Word association norms as a function of age,Psychonomic Science,1,65--66,,,,Words,Kent & Resanoff (1910),,,,,0,English,,stan1293,,Age range 18-87 year olds,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,Winters1970,Winters & Kahn,1970,Word association norms of adolescent mental retardates,Psychonomic Monograph Supplements,3,87--94,,200,,Words,,,,,,0,English,,stan1293,,"Tested adolescents with mental retardation, grade school, and undergraduate students",,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,Winters1971,Winters & Kahn,1971,Word-association norms: A comparison of adolescent mental retardates and normals,Psychonomic Monograph Supplements,4,129--163,,200,,Words,,,,,,0,English,,stan1293,,Tested adolescents with mental retardation and grade school children,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,Britton1978,Britton,1978,Lexical ambiguity of words used in English text,Behavior Research Methods & Instrumentation,10,1--7,10.3758/BF03205079,257,,Words,,,,,,0,English,,stan1293,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,Dale1996,Dale & Fenson,1996,Lexical development norms for young children,"Behavior Research Methods, Instruments, & Computers",28,125--127,10.3758/BF03203646,680,,Words,,,,,LEX,0,English,,stan1293,,Young children,Comprehension and production norms ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,Ferraro1990,Ferraro & Kellas,1990,Normative data for number of word meanings,"Behavior Research Methods, Instruments, & Computers",22,491--498,10.3758/BF03204432,576,,Words,,Pseudowords,,,,0,English,,stan1293,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,Hahn2011,Hahn & Sivley,2011,"Entropy, semantic relatedness and proximity",Behavior Research Methods,43,746--760,10.3758/s13428-011-0087-7,62474,,Word Pairs,,,Brant & Franz (2006) Web 1T 5-gram Version 1 Database,,,0,English,,stan1293,,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
90,Hao2008,"Hao, Shu, Xing, & Li",2008,Early vocabulary inventory for Mandarin Chinese,Behavior Research Methods,40,728--733,10.3758/BRM.40.3.728,20,232,Categories,,Words,"English CDI: Fenson, Dale, Reznick, Bates, Thal, & Pethick (1994)",Words translated to Mandarin Chinese from English,,0,Chinese,,mand1415,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,Hino2011,"Hino, Miyamura, & Lupker",2011,The nature of orthographic-phonological and orthographic-semantic relationships for Japanese kana and kanji words,Behavior Research Methods,43,1110--1151,10.3758/s13428-011-0101-0,339,775,Characters,Katakana words from Amano & Kondo (2003),Characters,Kanji words from Amano & Kondo (2003),,,0,Japanese,,nucl1643,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
92,Hofmann2007,"Hofmann, Stenneken, Conrad, & Jacobs",2007,Sublexical frequency measures for orthographic and phonological units in German,Behavior Research Methods,39,620--629,10.3758/BF03193034,407676,,Corpus,"CELEX: Baayen, Piepenbrock, & Gulikers (1995)",,,,SUBLEX,0,German,,stan1295,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,Horton1983,Horton,1983,Phonemic and semantic generation norms,Behavior Research Methods & Instrumentation,15,109--110,10.3758/BF03203459,76,,Words,,,,,,0,English,,stan1293,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
