STUFFID,author,year,ref_title,ref_journal,ref_volume,ref_page,ref_doi,no1,no2,type1,ref1,type2,ref2,notes_stim,data_program,data_name,language,notes_lang,population,notes_var,aoa,ambiguity,arousal,assoc,category,cloze,complex,concrete,confusion,dist,dominate,easelearn,familiar,freq,gpc,identify,identifyld,identifyn,imagevar,imagine,intense,meaning,modality,morph,nameagree,orthon,pos,phonon,prime,pronounce,rt,recall,recognition,rime,semantic,sensory,sentcomp,typical,valence,visualcomp,wordcomp,syllables,letters,phonemes,imageagree,similar
34,Gee & Harris,2010,Homograph norms: An alternative approach to determining meaning dominance,Behavior Research Methods,42,976-986,10.3758/BRM.42.4.976,197,,Other,"Nelson, McEvoy, & Schrieber (2004)",,,,0,,English,,,Meaning dominance values and summary classification responses,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
35,"Goikoetxea, Pascual, & Acha",2008,Normative study of the implicit causality of 100 interpersonal verbs in Spanish,Behavior Research Methods,40,760-772,10.3758/BRM.40.3.760,100,,Words,"U. Rudolph (personal communication, 2005); LEXESP: Sebastiäóçn-Gall_s, Mart', Cuetos, & Carreiras (2000)",,,,0,,Spanish,,,Verb Bias,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
38,"Gontijo, Gontijo, & Shillcock",2003,Grapheme - phoneme probabilities in British English,"Behavior Research Methods, Instruments, & Computers",35,136-157,10.3758/BF03195506,17900000,,Words,"CELEX: Baayen, Piepenbrock, & Gulikers (1995)",,,,0,,British English,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,Gorfein & Weingartner,2008,On the norming of homophones,Behavior Research Methods,40,522-530,10.3758/BRM.40.2.522,207,,Homo/Heterophones,,,,,0,,English,,,Homophone dominance measures using visual and auditory tasks,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,"Graesser, McNamara, Louwerse, & Cai",2004,Coh-Metrix: Analysis of text on cohesion and language,"Behavior Research Methods, Instruments, & Computers",36,193-202,10.3758/BF03195564,,,Other,,,,,1,Coh-Metrix,English,,,"Density, logical operators, connectives, token tatio, polysemy, hypernym, concept clarity, syntatic complexity, readability, cohesion",1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,"Grimaldi, Pyc, & Rawson",2010,"Normative multitrial recall performance, metacognitive judgments, and retrieval latencies for Lithuanian-English paired associates",Behavior Research Methods,42,634-642, 10.3758/BRM.42.3.634,120,,Word Pairs,,,,,0,,Multiple,"Lithuanian, English",,Error types and difficulty,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,Gruhn & Smith,2008,Characteristics for 200 words rated by young and older adults: Age-dependent evaluations of German adjectives (AGE),Behavior Research Methods,40,1088-1097,10.3758/BRM.40.4.1088,200,,Words,"Hager & Hasselhorn (1994); PANAS-X: Watson & Clark (1994); MDBF: Steyer, Schwenkmezger, Notz, & Eid (1997)",,,,0,,German,,,"Self-relevance, age relevance, and self-other relevance",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
46,"Gupta, Lipinski, Abbs, Lin, Aktunc, Ludden, Martin, & Newman",2004,Space aliens and nonwords: Stimuli for investigating the learning of novel word-meaning pairs,"Behavior Research Methods, Instruments, & Computers",36,599-603,10.3758/BF03206540,144,2500,Pictures,,Pseudowords,,,0,,English,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
67,Keenan & Benjafield,1994,An additional measure of availability derived from the Oxford English Dictionary,Psychonomic Bulletin & Review,1,255-257,10.3758/BF03200777,,,Words,Oxford English Dictionary,,,,0,,English,,,Availability,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
68,Rudell,1993,Frequency of word usage and perceived word difficulty: Ratings of Kucera and Francis words,"Behavior Research Methods, Instruments, & Computers",25,455-463,10.3758/BF03204543,200,,Words,Kucera & Francis (1967),,,,0,,English,,,Word difficulty,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,"Blair, Urland, & Ma",2002,Using Internet search engines to estimate word frequency,Behavior Research Methods,34,286-290,10.3758/BF03195456,382,,Words,Kucera & Francis (1967),Names,"CELEX: Baayen, Piepenbrock, & Gulikers (1995)","Nouns, verbs, adjectives, nonstandard words, names",0,,English,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,Burgess & Livesay,1998,The effect of corpus size in predicting reaction time in a basic word recognition task: Moving on from Kucera and Francis,"Behavior Research Methods, Instruments, & Computers",30,272-277,10.3758/BF03200655,8208,,Words,HAL: Burgess & Lund (1997); Kucera & Francis (1967),,,,0,,English,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,Amster,1967,Convergent association norms for ten-year-old children and college age adults,Psychonomic Monograph Supplements,2,1-32,,,,Word Pairs,Russell & Jenkins (1954); Palermo & Jenkins (1964),,,,0,,English,,Children and adults,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,Biersdorff & Solso,1973,A recodification of the Palermo and Jenkins word-association norms,Behavior Research Methods & Instrumentation,5,14-20,10.3758/BF03200115,,,Word Pairs,Palermo & Jenkins (1964),,,,0,,English,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,Duncan & Wood,1966,Norms for successive word associations,Psychonomic Monograph Supplements,1,203-206,,20,,Words,Kent & Resanoff (1910),,,,0,,English,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,"Garskof, Houston, & Mednick",1967,Overlap and direct associative strength norms for 480 word pairs,Psychonomic Monograph Supplements,2,33-38,,480,,Word Pairs,,,,,0,,English,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,Geen & Stonner,1975,Primary associates to 20 verbs connoting violence,Behavior Research Methods & Instrumentation,7,391-392,10.3758/BF03201552,20,,Words,,,,Violent verbs,0,,English,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,Gerjouy & Gerjouy,1965,Preliminary word-association norms for institutionalized adolescent retardates,Psychonomic Science,2,91-92,,100,,Words,Kent & Resanoff (1910),,,,0,,English,,Tested institutionalized adolescents ,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,"Lovelace, Reid, & Hunt",1981,Free associations to conceptually structured word triads,Bulletin of the Psychonomic Society,17,65-68,,40,,Word Pairs,,,,Word triads,0,,English,,"Elementary school, high school, and college students",,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,S.S. Shapiro,1966,Word association norms: Stability of response and chains of association,Psychonomic Science,4,233-234,,82,,Words,,,,,0,,English,,Tested 12-13 year olds,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,S.L. Shapiro & Palermo,1968,An atlas of normative free association data,Psychonomic Monograph Supplements,2,219-250,,20,,Words,,,,Collections of words,0,,English,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,Stark,1972,Synonym responses to 100 free association stimuli,Psychonomic Monograph Supplements,4,269-274,,100,,Words,,,,Synonyms,0,,English,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,Tresselt & Mayzner,1964,The Kent-Rosanoff word association: Word association norms as a function of age,Psychonomic Science,1,65-66,,,,Words,Kent & Resanoff (1910),,,,0,,English,,Age range 18-87 year olds,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,Winters & Kahn,1970,Word association norms of adolescent mental retardates,Psychonomic Monograph Supplements,3,87-94,,200,,Words,,,,,0,,English,,"Tested adolescents with mental retardation, grade school, and undergraduate students",,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,Winters & Kahn,1971,Word-association norms: A comparison of adolescent mental retardates and normals,Psychonomic Monograph Supplements,4,129-163,,200,,Words,,,,,0,,English,,Tested adolescents with mental retardation and grade school children,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,Britton,1978,Lexical ambiguity of words used in English text,Behavior Research Methods & Instrumentation,10,1-7,10.3758/BF03205079,257,,Words,,,,,0,,English,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,Dale & Fenson,1996,Lexical development norms for young children,"Behavior Research Methods, Instruments, & Computers",28,125-127,10.3758/BF03203646,680,,Words,,,,,1,LEX,English,,Young children,Comprehension and production norms ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,Ferraro & Kellas,1990,Normative data for number of word meanings,"Behavior Research Methods, Instruments, & Computers",22,491-498,10.3758/BF03204432,576,,Words,,Pseudowords,,,0,,English,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,Hahn & Sivley,2011,"Entropy, semantic relatedness and proximity",Behavior Research Methods,43,746-760,10.3758/s13428-011-0087-7,62474,,Word Pairs,,,Brant & Franz (2006) Web 1T 5-gram Version 1 Database,,0,,English,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
90,"Hao, Shu, Xing, & Li",2008,Early vocabulary inventory for Mandarin Chinese,Behavior Research Methods,40,728-733,10.3758/BRM.40.3.728,20,232,Categories,,Words,"English CDI: Fenson, Dale, Reznick, Bates, Thal, & Pethick (1994)",Words translated to Mandarin Chinese from English,0,,Chinese,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,"Hino, Miyamura, & Lupker",2011,The nature of orthographic-phonological and orthographic-semantic relationships for Japanese kana and kanji words,Behavior Research Methods,43,1110-1151,10.3758/s13428-011-0101-0,339,775,Characters,Katakana words from Amano & Kondo (2003),Characters,Kanji words from Amano & Kondo (2003),,0,,Japanese,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
92,"Hofmann, Stenneken, Conrad, & Jacobs",2007,Sublexical frequency measures for orthographic and phonological units in German,Behavior Research Methods,39,620-629,10.3758/BF03193034,407676,,Words,"CELEX: Baayen, Piepenbrock, & Gulikers (1995)",,,,1,SUBLEX,German,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,Horton,1983,Phonemic and semantic generation norms,Behavior Research Methods & Instrumentation,15,109-110,10.3758/BF03203459,76,,Words,,,,,0,,English,,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
94,"Izura, Hernandez-Munoz, & Ellis",2005,Category norms for 500 Spanish words in five semantic categories,Behavior Research Methods,37,385-397,10.3758/BF03192708,500,5,Words,,Categories,,,0,,Spanish,,,Lexical availability,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
95,Izura & Playfoot,2012,A normative study of acronyms and acronym naming,Behavior Research Methods,44,862-889,10.3758/s13428-011-0175-8,146,,Other,"Acronyms from Oxford English Dictionary and the Acronyms, Initialisms, and Abbreviations Dictionary",,,Acronyms,0,,English,,,Voicing charateristics,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,Janscherwitz,2008,"Taboo, emotionally valenced, and emotionally neutral word norms",Behavior Research Methods,40,1065-1074,10.3758/BRM.40.4.1065,460,,Words,ANEW: Bradley & Lang (1999),,,,0,,English,,,Inappropriateness,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
97,"Janssen, Pejtas, & Caramazza",2011,"A set of 150 pictures with morphologically complex English compound names: Norms for name agreement, familiarity, image agreement, and visual complexity",Behavior Research Methods,43,478-490,10.3758/s13428-011-0065-0,150,150,Pictures,"Google image search, ArtExplosion (1998); Cycowicz, Friedman, Rothstein, & Snodgrass (1997)",Words,"CELEX: Baayen, Piepenbrock, & Gulikers (1995)",,0,,English,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
98,"Ji, Lemaire, Choo, & Ploux",2008,"Testing the cognitive relevance of a geometric model on a word association task: a comparison of humans, ACOM, and LSA",Behavior Research Methods,40,926-934, 10.3758/BRM.40.4.926,90,,Words,Hirsh & Tree (2001),,,,0,,English,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,Griffin,1999,Frequency of meaning use for ambiguous and unambiguous words,"Behavior Research Methods, Instruments, & Computers",31,520-530,10.3758/BF03200731,211,,Words,,,,Ambiguous and unambiguous words,0,,English,,,,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
